NAME,Population,Median_Income
"Fayette County, Illinois",21565,24407
"Logan County, Illinois",29003,30474
"Saline County, Illinois",23994,24185
"Lake County, Illinois",701473,37491
"Massac County, Illinois",14219,23617
"Cass County, Illinois",12493,29595
"Huntington County, Indiana",36359,28502
"White County, Indiana",24149,29443
"Jay County, Indiana",20840,26060
"Shelby County, Indiana",44438,31848
"Sullivan County, Indiana",20730,25703
"Tippecanoe County, Indiana",191553,24925
"Hamilton County, Indiana",323117,46631
"Bartholomew County, Indiana",82481,31874
"Fulton County, Indiana",20096,27488
"Noble County, Indiana",47506,30171
"Clark County, Indiana",116507,30746
"Hendricks County, Indiana",163799,38755
"Grant County, Indiana",66452,23127
"Jackson County, Indiana",44025,28439
"Owen County, Indiana",20835,26749
"Whitley County, Indiana",33730,32719
"Clinton County, Indiana",32273,28155
"Union County, Indiana",7113,27248
"Dearborn County, Indiana",49479,31366
"Lawrence County, Indiana",45548,27398
"Perry County, Indiana",19102,28928
"Posey County, Indiana",25560,31535
"Carroll County, Indiana",20074,30193
"Fountain County, Indiana",16430,28168
"Starke County, Indiana",22952,25585
"Greene County, Indiana",32159,26319
"Benton County, Iowa",25636,34887
"Dubuque County, Iowa",96982,31437
"Pocahontas County, Iowa",6797,30587
"Van Buren County, Iowa",7150,25755
"Adams County, Iowa",3670,30028
"Audubon County, Iowa",5571,28804
"Davis County, Iowa",8920,30912
"Ida County, Iowa",6901,32594
"Monroe County, Iowa",7807,32954
"Sioux County, Iowa",34827,30737
"Calhoun County, Iowa",9744,27215
"Cerro Gordo County, Iowa",42834,31419
"Hardin County, Iowa",17061,30203
"Lucas County, Iowa",8583,31208
"Palo Alto County, Iowa",9003,30217
"Henry County, Iowa",19941,28551
"Jasper County, Iowa",36971,30938
"Poweshiek County, Iowa",18388,30154
"Clayton County, Iowa",17625,27442
"Bremer County, Iowa",24864,33610
"Emmet County, Iowa",9438,27184
"Hancock County, Iowa",10802,31690
"Jackson County, Iowa",19401,32335
"Lee County, Iowa",34227,26580
"Warren County, Iowa",50076,39189
"Mahaska County, Iowa",22164,27150
"Clay County, Iowa",16211,27708
"Delaware County, Iowa",17183,31467
"Bacon County, Georgia",11201,22385
"Brantley County, Georgia",18756,20927
"Ben Hill County, Georgia",17033,20795
"Burke County, Georgia",22520,25474
"Catoosa County, Georgia",66700,27313
"Chattahoochee County, Georgia",10560,24681
"Chattooga County, Georgia",24812,21970
"Columbia County, Georgia",150705,36592
"Decatur County, Georgia",26682,24110
"Floyd County, Georgia",97369,24845
"Forsyth County, Georgia",228383,44964
"Habersham County, Georgia",44626,25266
"Hart County, Georgia",25773,24057
"Lowndes County, Georgia",115364,24530
"McIntosh County, Georgia",14174,27312
"Meriwether County, Georgia",21106,21327
"Monroe County, Georgia",27171,27473
"Putnam County, Georgia",21691,29520
"Sumter County, Georgia",30064,22179
"Taliaferro County, Georgia",1611,19627
"Warren County, Georgia",5297,21098
"Wayne County, Iowa",6429,28464
"Scott County, Iowa",172446,32801
"Sherman County, Kansas",5938,27415
"Thomas County, Kansas",7810,29763
"Morris County, Kansas",5566,30533
"Rooks County, Kansas",5053,26245
"Clark County, Kansas",2026,32045
"Harper County, Kansas",5594,26080
"Lyon County, Kansas",33251,26439
"Pawnee County, Kansas",6629,24658
"Comanche County, Kansas",1740,29181
"Gove County, Kansas",2644,28801
