NAME,Population,Median_Income
"Autauga County, Alabama",55639,29611
"Baldwin County, Alabama",218289,30558
"Barbour County, Alabama",25026,19111
"Bibb County, Alabama",22374,22100
"Blount County, Alabama",57755,26998
"Bullock County, Alabama",10173,21481
"Butler County, Alabama",19726,20952
"Calhoun County, Alabama",114324,25191
"Lewis County, Kentucky",13345,20097
"Lincoln County, Kentucky",24493,22616
"Livingston County, Kentucky",9172,25642
"Logan County, Kentucky",27049,26348
"Lyon County, Kentucky",8226,24155
"McCracken County, Kentucky",65485,25820
"McCreary County, Kentucky",17333,17367
"Madison County, Kentucky",92090,24250
"Marion County, Kentucky",19257,24011
"Marshall County, Kentucky",31225,29653
"Mason County, Kentucky",17122,25269
"Meade County, Kentucky",28379,31050
"Mercer County, Kentucky",21690,28659
"Metcalfe County, Kentucky",10062,21399
"Montgomery County, Kentucky",28042,25002
"Morgan County, Kentucky",13270,21160
"Nelson County, Kentucky",45915,31062
"Nicholas County, Kentucky",7189,22074
"Oldham County, Kentucky",66508,42322
"Owen County, Kentucky",10847,26516
"Pendleton County, Kentucky",14587,28004
"Pike County, Kentucky",58595,20899
"Powell County, Kentucky",12283,23373
"Robertson County, Kentucky",2139,27195
"Rockcastle County, Kentucky",16795,20631
"Russell County, Kentucky",17846,23120
"Scott County, Kentucky",55961,35673
"Simpson County, Kentucky",18319,28986
"Spencer County, Kentucky",18945,38139
"Todd County, Kentucky",12334,27925
"Trimble County, Kentucky",8528,27327
"Union County, Kentucky",14582,26631
"Washington County, Kentucky",12044,27442
"Wayne County, Kentucky",20447,21169
"Whitley County, Kentucky",36252,18444
"Wolfe County, Kentucky",7188,12917
"Androscoggin County, Maine",107958,30302
"Aroostook County, Maine",67431,24147
"Franklin County, Maine",29933,26677
"Hancock County, Maine",54832,30926
"Knox County, Maine",39809,30489
"Lincoln County, Maine",34415,31872
"Penobscot County, Maine",151696,27164
"Piscataquis County, Maine",16864,23252
"Somerset County, Maine",50573,24098
"Washington County, Maine",31378,24537
"York County, Maine",206074,33945
"Anoka County, Minnesota",353775,40331
"Becker County, Minnesota",34227,31616
"Beltrami County, Minnesota",46784,27284
"Benton County, Minnesota",40476,34718
"Big Stone County, Minnesota",4974,29036
"Blue Earth County, Minnesota",67368,28303
"Brown County, Minnesota",25076,32983
"Carlton County, Minnesota",35709,33388
"Carver County, Minnesota",103561,47669
"Cass County, Minnesota",29462,30133
"Chippewa County, Minnesota",11876,32208
"Chisago County, Minnesota",55844,40144
"Meigs County, Tennessee",12237,22295
"Montgomery County, Tennessee",204992,32133
"Moore County, Tennessee",6396,30879
"Obion County, Tennessee",30343,23968
"Overton County, Tennessee",22171,22924
"Pickett County, Tennessee",5068,23226
"Polk County, Tennessee",16807,25012
"Rhea County, Tennessee",32964,23936
"Roane County, Tennessee",53331,27956
"Rutherford County, Tennessee",324139,33593
"Scott County, Tennessee",22020,20083
"Sequatchie County, Tennessee",14936,22759
